# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   85       2.527493763857e-10       7.656243744149e-14      -1.550522681478e-12       5.296919118476e-16       2.457354433522e-11       1.975950795137e-12      -1.111611325958e-14 
   86       2.555367374724e-10       7.870911389342e-14      -1.624939700297e-12       5.421626730000e-16       2.391118220283e-11       1.931054060114e-12      -1.116009663136e-14 
   87       2.583531789375e-10       8.086186785431e-14      -1.700302684310e-12       5.547786904234e-16       2.327284107566e-11       1.887477108849e-12      -1.112346612171e-14 
   88       2.611989995710e-10       8.301879206426e-14      -1.776568235592e-12       5.675400286658e-16       2.265794059842e-11       1.845232890001e-12      -1.101854759145e-14 
   89       2.640742530531e-10       8.517792612956e-14      -1.853692088569e-12       5.804467576560e-16       2.206558543927e-11       1.804318540557e-12      -1.085914907436e-14 
   90       2.669787363625e-10       8.733725639186e-14      -1.931629140358e-12       5.934989528554e-16       2.149455314014e-11       1.764714720222e-12      -1.066060564882e-14 
   91       2.699119781849e-10       8.949471579719e-14      -2.010333481103e-12       6.066966954098e-16       2.094328196701e-11       1.726384945824e-12      -1.043982430955e-14 
   92       2.728732273223e-10       9.164818376507e-14      -2.089758424316e-12       6.200400723007e-16       2.040985876026e-11       1.689274925707e-12      -1.021532883930e-14 
   93       2.758617424827e-10       9.379554454629e-14      -2.169854452095e-12       6.335292869438e-16       1.989248225577e-11       1.653328721714e-12      -1.000359932840e-14 
   94       2.788777366857e-10       9.593487262054e-14      -2.250562631381e-12       6.471650096824e-16       1.939095914913e-11       1.618541461394e-12      -9.807363510214e-15 
   95       2.819215541257e-10       9.806427507028e-14      -2.331820258992e-12       6.609480805336e-16       1.890541162302e-11       1.584913359972e-12      -9.625619211033e-15 
   96       2.849933740912e-10       1.001818362395e-13      -2.413562860206e-12       6.748794050845e-16       1.843581637745e-11       1.552433170370e-12      -9.457176884301e-15 
   97       2.880932035113e-10       1.022856184058e-13      -2.495724190479e-12       6.889599561596e-16       1.798199900678e-11       1.521077748589e-12      -9.300653619549e-15 
   98       2.912208695005e-10       1.043736624521e-13      -2.578236237159e-12       7.031907754886e-16       1.754362837672e-11       1.490811619103e-12      -9.154467151334e-15 
   99       2.943760119053e-10       1.064439885389e-13      -2.661029221202e-12       7.175729753743e-16       1.712021100140e-11       1.461586540239e-12      -9.016829868175e-15 
  100       2.975580758493e-10       1.084945967758e-13      -2.744031598892e-12       7.321077403599e-16       1.671108542035e-11       1.433341069568e-12      -8.885742821494e-15 
  101       3.007663042792e-10       1.105234678939e-13      -2.827170063555e-12       7.467963288974e-16       1.631541657557e-11       1.406000129292e-12      -8.758989734549e-15 
  102       3.039997305105e-10       1.125285639177e-13      -2.910369547274e-12       7.616400750149e-16       1.593219018849e-11       1.379474571628e-12      -8.634131011377e-15 
  103       3.072571707728e-10       1.145078288366e-13      -2.993553222611e-12       7.766403899843e-16       1.556020713705e-11       1.353660744196e-12      -8.508497745728e-15 
  104       3.105374958975e-10       1.164592248920e-13      -3.076644892085e-12       7.917986358067e-16       1.519836067461e-11       1.328463896324e-12      -8.379807800884e-15 
  105       3.138405042308e-10       1.183808455721e-13      -3.159576520555e-12       8.071157226118e-16       1.484652284677e-11       1.303872935012e-12      -8.248121734451e-15 
  106       3.171661532903e-10       1.202708192046e-13      -3.242281728292e-12       8.225924597289e-16       1.450476789114e-11       1.279895004175e-12      -8.114141151449e-15 
  107       3.205142868197e-10       1.221272757559e-13      -3.324693521689e-12       8.382296792691e-16       1.417309760377e-11       1.256532374962e-12      -7.978611062322e-15 
  108       3.238846304020e-10       1.239483478940e-13      -3.406744321219e-12       8.540282363842e-16       1.385143882427e-11       1.233782273132e-12      -7.842320727821e-15 
  109       3.272767870729e-10       1.257321720518e-13      -3.488365989392e-12       8.699890095258e-16       1.353964092101e-11       1.211636706425e-12      -7.706104503882e-15 
  110       3.306902329338e-10       1.274768894912e-13      -3.569489858706e-12       8.861129007047e-16       1.323747327633e-11       1.190082291941e-12      -7.570842686511e-15 
  111       3.341243127649e-10       1.291806473653e-13      -3.650046759606e-12       9.024008357499e-16       1.294462277166e-11       1.169100083511e-12      -7.437462356664e-15 
  112       3.375782356387e-10       1.308415997825e-13      -3.729967048440e-12       9.188537645677e-16       1.266069127274e-11       1.148665399076e-12      -7.306938225127e-15 
  113       3.410510705331e-10       1.324579088697e-13      -3.809180635412e-12       9.354726614010e-16       1.238519311477e-11       1.128747648059e-12      -7.180293477403e-15 
  114       3.445417419443e-10       1.340277458354e-13      -3.887617012541e-12       9.522585250880e-16       1.211755258761e-11       1.109310158740e-12      -7.058600618585e-15 
  115       3.480490255004e-10       1.355492920332e-13      -3.965205281615e-12       9.692123793221e-16       1.185710142093e-11       1.090310005634e-12      -6.942982318247e-15 
  116       3.515717305051e-10       1.370207922399e-13      -4.041874757861e-12       9.863352492251e-16       1.160322841773e-11       1.071708158633e-12      -6.834359802463e-15 
  117       3.551092821256e-10       1.384407195657e-13      -4.117556804464e-12       1.003628087284e-15       1.135585437042e-11       1.053501699388e-12      -6.732661519047e-15 
